epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.8769130479721796,0.8684654300168634,0.2654639175257732,0.40663245163837347,0.7056547007844909,1.7996959686279297,85,1
2,1.023384101807125,0.8954468802698144,0.2737113402061856,0.4192656928543229,0.7123495707890091,1.3595240116119385,85,1
3,0.9606284082881988,0.9038785834738617,0.27628865979381445,0.42321358073430715,0.7142597137224299,1.3457835912704468,85,1
4,0.9526253115563166,0.9038785834738617,0.27628865979381445,0.42321358073430715,0.7139376771265454,1.3393172025680542,85,0
5,0.9472523634395902,0.9055649241146712,0.2768041237113402,0.424003158310304,0.7133305694746787,1.3381407260894775,85,1
6,0.9427736638084291,0.9021922428330523,0.2757731958762887,0.4224240031583103,0.714277169671828,1.3327031135559082,85,0
7,0.9353848638988677,0.9123102866779089,0.2788659793814433,0.42716146861429133,0.7158931285168603,1.3109982013702393,85,1
8,0.9168852614978004,0.9173693086003373,0.2804123711340206,0.42953020134228187,0.7181031030517107,1.2879856824874878,85,1
9,0.906370134580703,0.9173693086003373,0.2804123711340206,0.42953020134228187,0.7177312656590135,1.2817063331604004,85,0
10,0.903067047633822,0.9156829679595279,0.27989690721649485,0.428740623766285,0.7170484299913747,1.2808194160461426,85,0
